ticker symbol	DBMS	db type	total ms	start time	end time	host name	no. cores	operating system	total DDL ms	drop constr. ms	add constr. ms	total DML ms
agens	AgensGraph	client	4074	2021-08-03 12:22:01.864612600	2021-08-03 12:22:05.939324000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	817	0	0	3257
cockroach	CockroachDB	client	5052	2021-08-03 12:22:38.116584400	2021-08-03 12:22:43.169418200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	772	0	0	4280
cratedb	CrateDB	client	5640	2021-08-03 12:23:15.217580300	2021-08-03 12:23:20.857960100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	2664	0	0	2976
cubrid	CUBRID	client	5536	2021-08-03 12:23:53.463276600	2021-08-03 12:23:59.000128300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	296	0	0	5240
derby	Apache Derby	client	19805	2021-08-03 12:24:41.206497000	2021-08-03 12:25:01.012428500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3714	0	0	16091
derby_emb	Apache Derby	embedded	12667	2021-08-03 12:25:01.494491100	2021-08-03 12:25:14.161718100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1186	0	0	11481
exasol	Exasol	client	3554	2021-08-03 12:27:16.790470400	2021-08-03 12:27:20.345253000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	619	0	0	2935
firebird	Firebird	client	87238	2021-08-03 12:28:05.028677300	2021-08-03 12:29:32.267586900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1083	0	0	86155
h2	H2 Database Engine	client	5445	2021-08-03 12:30:04.269481600	2021-08-03 12:30:09.715372100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	334	0	0	5111
h2_emb	H2 Database Engine	embedded	2383	2021-08-03 12:30:10.197919800	2021-08-03 12:30:12.581122500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	355	0	0	2028
hsqldb	HSQLDB	client	20697	2021-08-03 12:30:45.042513700	2021-08-03 12:31:05.739915000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	460	0	0	20237
hsqldb_emb	HSQLDB	embedded	2517	2021-08-03 12:31:06.224030100	2021-08-03 12:31:08.741053000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	345	0	0	2172
ibmdb2	IBM Db2 Database	client	32376	2021-08-03 12:36:10.814476900	2021-08-03 12:36:43.190778200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	4939	0	0	27437
informix	IBM Informix	client	15153	2021-08-03 12:40:51.007626900	2021-08-03 12:41:06.160787100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1754	0	0	13399
mariadb	MariaDB Server	client	3715	2021-08-03 12:41:48.147220000	2021-08-03 12:41:51.862231000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	329	0	0	3386
mimer	Mimer SQL	client	12499	2021-08-03 12:42:24.232478200	2021-08-03 12:42:36.732348800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	397	0	0	12102
monetdb	MonetDB	client	10961	2021-08-03 12:42:43.645509200	2021-08-03 12:42:54.606511200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1940	0	0	9021
mysql	MySQL Database	client	6539	2021-08-03 12:43:57.531677400	2021-08-03 12:44:04.071634200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	603	0	0	5936
mysql_trino	MySQL Database	trino	1059715	2021-08-03 12:45:41.205747600	2021-08-03 13:03:20.921005400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1246	0	0	1058469
omnisci	OmniSciDB	client	6371	2021-08-03 13:04:24.246118700	2021-08-03 13:04:30.617849500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3301	0	0	3070
oracle	Oracle Database	client	11405	2021-08-03 13:06:42.902600500	2021-08-03 13:06:54.307938500	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	633	0	0	10772
oracle_trino	Oracle Database	trino	1261515	2021-08-03 13:09:39.258100800	2021-08-03 13:30:40.773400900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	605	0	0	1260910
percona	Percona Server for MySQL	client	5881	2021-08-03 13:31:53.241388500	2021-08-03 13:31:59.123225900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	596	0	0	5285
postgresql	PostgreSQL	client	3643	2021-08-03 13:32:33.885167400	2021-08-03 13:32:37.528243300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	499	0	0	3144
postgresql_trino	PostgreSQL	trino	492177	2021-08-03 13:33:41.594910200	2021-08-03 13:41:53.772389200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	499	0	0	491678
sqlite	SQLite	embedded	1898	2021-08-03 13:41:54.330769600	2021-08-03 13:41:56.229161400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	304	0	0	1594
sqlserver	MS SQL Server	client	4195	2021-08-03 13:42:29.039975300	2021-08-03 13:42:33.235685400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	875	0	0	3320
sqlserver_trino	MS SQL Server	trino	1032563	2021-08-03 13:43:42.585918500	2021-08-03 14:00:55.149379900	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	731	0	0	1031832
timescale	TimescaleDB	client	3680	2021-08-03 14:01:28.466333100	2021-08-03 14:01:32.146733400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	577	0	0	3103
voltdb	VoltDB	client	11496	2021-08-03 14:01:53.935497800	2021-08-03 14:02:05.432346200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3438	0	0	8058
yugabyte	YugabyteDB	client	12617	2021-08-03 14:02:37.834159000	2021-08-03 14:02:50.451291300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	6349	0	0	6268
agens	AgensGraph	client	3739	2021-08-03 14:03:22.281492900	2021-08-03 14:03:26.021232200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	717	0	64	3022
cubrid	CUBRID	client	5688	2021-08-03 14:03:57.858611400	2021-08-03 14:04:03.547067800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	476	93	76	5212
derby	Apache Derby	client	15816	2021-08-03 14:04:45.554368300	2021-08-03 14:05:01.370972800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3825	208	338	11991
derby_emb	Apache Derby	embedded	13027	2021-08-03 14:05:01.859004200	2021-08-03 14:05:14.886258700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1666	202	217	11361
exasol	Exasol	client	3663	2021-08-03 14:07:17.394065100	2021-08-03 14:07:21.057696800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	771	19	82	2892
firebird	Firebird	client	68004	2021-08-03 14:08:05.595095900	2021-08-03 14:09:13.599981100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1259	272	154	66745
hsqldb	HSQLDB	client	18427	2021-08-03 14:09:45.555720700	2021-08-03 14:10:03.982761400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	533	45	35	17894
hsqldb_emb	HSQLDB	embedded	2561	2021-08-03 14:10:04.452842100	2021-08-03 14:10:07.014606400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	391	34	20	2170
ibmdb2	IBM Db2 Database	client	23762	2021-08-03 14:15:09.088749800	2021-08-03 14:15:32.850954300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	4018	905	297	19744
informix	IBM Informix	client	14152	2021-08-03 14:19:40.657171700	2021-08-03 14:19:54.809695400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1938	46	151	12214
mariadb	MariaDB Server	client	6414	2021-08-03 14:20:36.655348200	2021-08-03 14:20:43.069523400	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3282	2833	121	3132
mimer	Mimer SQL	client	12962	2021-08-03 14:21:15.191528200	2021-08-03 14:21:28.154397300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	619	106	167	12343
monetdb	MonetDB	client	7178	2021-08-03 14:21:35.022275200	2021-08-03 14:21:42.200325800	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1228	0	116	5950
mysql	MySQL Database	client	18892	2021-08-03 14:22:45.418618700	2021-08-03 14:23:04.311245700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	13853	13101	145	5039
oracle	Oracle Database	client	13952	2021-08-03 14:25:08.069647300	2021-08-03 14:25:22.021802200	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	3438	166	2658	10514
percona	Percona Server for MySQL	client	18491	2021-08-03 14:26:34.152787100	2021-08-03 14:26:52.643826000	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	13318	12602	147	5173
postgresql	PostgreSQL	client	3484	2021-08-03 14:27:26.008207800	2021-08-03 14:27:29.492855100	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	553	0	65	2931
sqlserver	MS SQL Server	client	4225	2021-08-03 14:28:01.431132100	2021-08-03 14:28:05.656495300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	1258	225	271	2967
timescale	TimescaleDB	client	3581	2021-08-03 14:28:44.070641100	2021-08-03 14:28:47.652529700	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	636	0	71	2945
yugabyte	YugabyteDB	client	12808	2021-08-03 14:29:19.441201600	2021-08-03 14:29:32.249393300	jfww-win-dt-21	32	amd64 / Linux / 5.4.72-microsoft-standard-WSL2	6966	0	696	5842
