ticker symbol	DBMS	client / embedded	runtime in seconds	start time	end time	host name	no. cores	operating system
cratedb	CrateDB	client	44	2020-07-15 10:42:21.529412000	2020-07-15 10:43:05.892907000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
cratedb	CrateDB	client	35	2020-07-15 10:43:06.446233000	2020-07-15 10:43:42.013699000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
cubrid	CUBRID	client	11	2020-07-15 10:44:22.572428000	2020-07-15 10:44:34.280377000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
cubrid	CUBRID	client	10	2020-07-15 10:44:34.836064000	2020-07-15 10:44:45.791337000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
derby	Apache Derby [client]	client	21	2020-07-15 10:45:40.833478000	2020-07-15 10:46:02.687246000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
derby	Apache Derby [client]	client	17	2020-07-15 10:46:03.225565000	2020-07-15 10:46:20.569999000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
derby_emb	Apache Derby [embedded]	embedded	14	2020-07-15 10:46:21.100259000	2020-07-15 10:46:35.563201000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
firebird	Firebird	client	64	2020-07-15 10:47:14.123049000	2020-07-15 10:48:18.913822000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
firebird	Firebird	client	64	2020-07-15 10:48:19.400939000	2020-07-15 10:49:23.945288000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
h2	H2 Database Engine [client]	client	9	2020-07-15 10:49:57.776829000	2020-07-15 10:50:06.960598000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
h2	H2 Database Engine [client]	client	8	2020-07-15 10:50:07.455491000	2020-07-15 10:50:16.111590000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
h2_emb	H2 Database Engine [embedded]	embedded	4	2020-07-15 10:50:16.663078000	2020-07-15 10:50:21.167680000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
h2_emb	H2 Database Engine [embedded]	embedded	4	2020-07-15 10:50:21.664172000	2020-07-15 10:50:26.481698000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
hsqldb	HyperSQL Database [client]	client	22	2020-07-15 10:51:01.384692000	2020-07-15 10:51:23.608876000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
hsqldb	HyperSQL Database [client]	client	21	2020-07-15 10:51:24.658589000	2020-07-15 10:51:46.117011000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
hsqldb_emb	HyperSQL Database [embedded]	embedded	16	2020-07-15 10:51:46.714004000	2020-07-15 10:52:02.761365000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
hsqldb_emb	HyperSQL Database [embedded]	embedded	17	2020-07-15 10:52:03.291836000	2020-07-15 10:52:20.695945000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
ibmdb2	IBM Db2 Database	client	20	2020-07-15 10:55:43.018034000	2020-07-15 10:56:03.752191000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
ibmdb2	IBM Db2 Database	client	16	2020-07-15 10:56:04.634469000	2020-07-15 10:56:21.168666000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
informix	IBM Informix	client	16	2020-07-15 11:00:21.332545000	2020-07-15 11:00:37.513466000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
informix	IBM Informix	client	37	2020-07-15 11:00:37.988928000	2020-07-15 11:01:15.163508000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
mariadb	MariaDB Server	client	7	2020-07-15 11:01:46.813636000	2020-07-15 11:01:54.783084000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
mariadb	MariaDB Server	client	7	2020-07-15 11:01:55.258679000	2020-07-15 11:02:02.942632000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
sqlserver	MS SQL Server	client	12	2020-07-15 11:02:59.470094000	2020-07-15 11:03:11.471503000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
sqlserver	MS SQL Server	client	11	2020-07-15 11:03:12.011331000	2020-07-15 11:03:23.144842000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
mimer	Mimer SQL	client	51	2020-07-15 11:03:57.651189000	2020-07-15 11:04:49.648712000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
mimer	Mimer SQL	client	55	2020-07-15 11:04:50.119683000	2020-07-15 11:05:45.400917000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
mysql	MySQL Database	client	13	2020-07-15 11:06:24.248206000	2020-07-15 11:06:37.347547000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
mysql	MySQL Database	client	12	2020-07-15 11:06:37.882477000	2020-07-15 11:06:50.418978000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
oracle	Oracle Database	client	13	2020-07-15 11:16:37.491382000	2020-07-15 11:16:51.111980000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
oracle	Oracle Database	client	13	2020-07-15 11:16:51.583374000	2020-07-15 11:17:04.661195000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
postgresql	PostgreSQL Database	client	8	2020-07-15 11:17:41.732779000	2020-07-15 11:17:49.789632000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
postgresql	PostgreSQL Database	client	8	2020-07-15 11:17:50.288860000	2020-07-15 11:17:58.404701000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
sqlite	SQLite	embedded	1	2020-07-15 11:17:58.940274000	2020-07-15 11:18:00.848789000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
sqlite	SQLite	embedded	1	2020-07-15 11:18:01.330101000	2020-07-15 11:18:03.267276000	travis-job-be7e1414-ae17-41c4-be87-3883dbc58c78	2	amd64 / Linux / 5.0.0-1031-gcp
